# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
910           	((-2.399886e+38 -1.799644e+38 -1.179098e+38) (-2.246038e+16 -1.457407e+16 -4.820831e+16) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.093077e+39 -4.171347e+39 1.377311e+38) (5.259559e+17 -6.464427e+17 -1.937537e+16) (0.000000e+00 0.000000e+00 0.000000e+00))
920           	((-7.750064e+38 -5.448629e+38 -4.453551e+38) (-3.770976e+16 -2.799064e+16 -1.164515e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.285816e+39 -1.316984e+40 3.494828e+38) (9.064040e+17 -1.155332e+18 4.036993e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
930           	((-1.872166e+39 -1.139320e+39 -8.148142e+38) (-6.379630e+16 -4.214261e+16 -1.829100e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.028753e+40 -3.147262e+40 -2.165914e+38) (1.234309e+18 -1.806857e+18 3.420718e+16) (0.000000e+00 0.000000e+00 0.000000e+00))
940           	((-6.775446e+39 -3.855055e+39 -2.974195e+39) (-1.205779e+17 -7.072005e+16 -3.160828e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.601863e+40 -1.136336e+41 3.980293e+39) (1.844919e+18 -3.018154e+18 3.016590e+16) (0.000000e+00 0.000000e+00 0.000000e+00))
950           	((-1.910264e+40 -1.409473e+40 -7.250828e+39) (-2.060529e+17 -1.303969e+17 -5.170892e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.469111e+41 -3.195783e+41 -1.482287e+40) (3.694491e+18 -4.835964e+18 -2.137862e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
960           	((-5.504760e+40 -3.871655e+40 -2.160492e+40) (-3.312068e+17 -2.398917e+17 -7.917286e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.664445e+41 -9.198276e+41 -8.947055e+39) (7.103994e+18 -8.604692e+18 -1.461274e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
970           	((-1.737927e+41 -1.033230e+41 -5.922752e+40) (-5.963642e+17 -3.958855e+17 -1.289828e+18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.745341e+42 -2.875535e+42 -5.083519e+40) (1.167141e+19 -1.420304e+19 -2.777450e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
980           	((-5.999711e+41 -4.463412e+41 -2.327286e+41) (-1.106624e+18 -7.373236e+17 -2.409860e+18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.528507e+42 -1.006438e+43 1.744091e+41) (2.313485e+19 -2.792585e+19 -9.965518e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
990           	((-1.697270e+42 -9.399935e+41 -6.626216e+41) (-1.857661e+18 -1.247839e+18 -4.429371e+18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.689749e+43 -2.870368e+43 -3.810741e+41) (4.250445e+19 -5.021967e+19 -1.406358e+18) (0.000000e+00 0.000000e+00 0.000000e+00))
1000          	((-5.170882e+42 -3.132095e+42 -1.401556e+42) (-3.401137e+18 -2.059606e+18 -6.456594e+18) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.211238e+43 -8.376508e+43 6.466596e+41) (6.300218e+19 -8.473486e+19 -5.775228e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
