# Forces      
# CofR        : (0.000000e+00 0.000000e+00 2.000000e-02)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
560           	((9.352279e+27 1.624437e+27 -1.383405e+27) (1.678011e+11 3.890179e+10 -1.713176e+11) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.890318e+28 1.497025e+29 4.106201e+27) (-1.743576e+12 4.662238e+12 -1.167789e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
570           	((6.235154e+28 2.225608e+28 -1.112524e+28) (4.407219e+11 1.120036e+11 -2.883526e+11) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.942951e+29 9.942123e+29 -2.099701e+28) (-5.935504e+12 1.161558e+13 -3.614795e+11) (0.000000e+00 0.000000e+00 0.000000e+00))
580           	((4.577886e+29 2.373174e+29 -9.573055e+28) (1.093375e+12 4.305025e+11 -9.010200e+11) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.129123e+30 7.327902e+30 -4.911825e+29) (-1.952174e+13 3.016709e+13 -2.035265e+12) (0.000000e+00 0.000000e+00 0.000000e+00))
590           	((4.372677e+30 2.667386e+30 -5.971519e+29) (3.253233e+12 1.847723e+12 -1.828325e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.560890e+31 6.938129e+31 -2.223975e+30) (-7.070691e+13 9.117494e+13 -5.757770e+12) (0.000000e+00 0.000000e+00 0.000000e+00))
600           	((3.310018e+31 2.034916e+31 -8.654882e+30) (8.853821e+12 5.202702e+12 -8.947664e+12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.495669e+32 5.354596e+32 -1.554950e+31) (-2.013974e+14 2.596651e+14 -1.074942e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
610           	((1.383758e+32 7.162782e+31 -4.740054e+31) (1.830646e+13 1.114399e+13 -3.085440e+13) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.264441e+33 2.252756e+33 -8.766685e+31) (-4.235196e+14 5.239176e+14 -2.619513e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
620           	((8.669088e+32 3.168376e+32 -2.857126e+32) (4.617202e+13 1.711708e+13 -8.065225e+13) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.548223e+33 1.410114e+34 -1.808028e+32) (-7.308141e+14 1.237579e+15 -5.631367e+13) (0.000000e+00 0.000000e+00 0.000000e+00))
630           	((6.288246e+33 2.558044e+33 -1.340665e+33) (1.303847e+14 5.066588e+13 -1.601766e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.380697e+34 1.011049e+35 -7.243027e+32) (-1.960712e+15 3.378949e+15 -1.553493e+14) (0.000000e+00 0.000000e+00 0.000000e+00))
640           	((5.794408e+34 2.958633e+34 -9.486806e+33) (3.957331e+14 1.727968e+14 -3.325769e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.090166e+35 9.173922e+35 -4.536033e+33) (-7.421373e+15 1.064575e+16 -7.155636e+14) (0.000000e+00 0.000000e+00 0.000000e+00))
650           	((4.498923e+35 2.623100e+35 -4.344232e+34) (1.042094e+15 5.393130e+14 -2.843677e+14) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.461651e+36 6.993441e+36 -1.255034e+35) (-2.062427e+16 2.839481e+16 -1.722719e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
660           	((3.629397e+36 2.465357e+36 -7.080597e+35) (2.982682e+15 1.934705e+15 -1.948730e+15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.085505e+37 5.771524e+37 -1.906968e+36) (-7.102242e+16 8.172456e+16 -7.744432e+15) (0.000000e+00 0.000000e+00 0.000000e+00))
670           	((2.599203e+37 1.220227e+37 -6.991630e+36) (8.297565e+15 4.297728e+15 -9.842580e+15) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.130291e+38 4.226361e+38 -7.983976e+36) (-1.620919e+17 2.289617e+17 -1.437443e+16) (0.000000e+00 0.000000e+00 0.000000e+00))
680           	((1.654149e+38 6.978350e+37 -4.109882e+37) (2.112731e+16 8.468440e+15 -2.743108e+16) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.198849e+39 2.662840e+39 -6.194879e+36) (-3.595632e+17 5.821240e+17 -1.928444e+16) (0.000000e+00 0.000000e+00 0.000000e+00))
690           	((8.851033e+38 4.595784e+38 -2.179813e+38) (5.084004e+16 2.101557e+16 -5.453519e+16) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.971337e+39 1.430370e+40 -1.303550e+38) (-9.160737e+17 1.313413e+18 -6.036503e+16) (0.000000e+00 0.000000e+00 0.000000e+00))
700           	((6.240735e+39 3.366925e+39 -1.257567e+39) (1.301691e+17 5.871425e+16 -1.144788e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.000700e+40 9.942263e+40 -1.195871e+39) (-2.735100e+18 3.350967e+18 -1.994689e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
710           	((4.640854e+40 2.820425e+40 -1.133287e+40) (3.307243e+17 1.712864e+17 -3.434835e+17) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.918519e+41 7.447659e+41 -2.117668e+40) (-7.853508e+18 9.131942e+18 -8.655956e+17) (0.000000e+00 0.000000e+00 0.000000e+00))
